path,status,detail,urn,d0,d1,d2
../canonical-engLit/data/shakespeare/per/shakespeare.per.globe.xml,ok,,urn:cts:engLit:shakespeare.per.globe,6,28,4
../canonical-engLit/data/shakespeare/pht/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/pht/shakespeare.pht.folger.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/pht/shakespeare.pht.globe.xml,ok,,urn:cts:engLit:shakespeare.pht.globe,18,67,
../canonical-engLit/data/shakespeare/pp/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/pp/shakespeare.pp.globe.xml,config_error,First-level citeStructure declares delim='.'; must be ':' (CTS passage separator),,,,
../canonical-engLit/data/shakespeare/r2/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/r2/shakespeare.r2.f1.xml,ok,,urn:cts:engLit:shakespeare.r2.f1,5,19,
../canonical-engLit/data/shakespeare/r2/shakespeare.r2.globe.xml,ok,,urn:cts:engLit:shakespeare.r2.globe,6,19,10
../canonical-engLit/data/shakespeare/r3/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/r3/shakespeare.r3.f1.xml,ok,,urn:cts:engLit:shakespeare.r3.f1,5,25,
../canonical-engLit/data/shakespeare/r3/shakespeare.r3.globe.xml,ok,,urn:cts:engLit:shakespeare.r3.globe,6,25,7
../canonical-engLit/data/shakespeare/rom/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/rom/shakespeare.rom.f1.xml,ok,,urn:cts:engLit:shakespeare.rom.f1,6,24,
../canonical-engLit/data/shakespeare/rom/shakespeare.rom.globe.xml,ok,,urn:cts:engLit:shakespeare.rom.globe,7,25,33
../canonical-engLit/data/shakespeare/shr/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/shr/shakespeare.shr.f1.xml,ok,,urn:cts:engLit:shakespeare.shr.f1,6,12,
../canonical-engLit/data/shakespeare/shr/shakespeare.shr.globe.xml,ok,,urn:cts:engLit:shakespeare.shr.globe,7,14,23
../canonical-engLit/data/shakespeare/son/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/son/shakespeare.son.folger.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/son/shakespeare.son.globe.xml,ok,,urn:cts:engLit:shakespeare.son.globe,154,2155,
../canonical-engLit/data/shakespeare/tgv/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tgv/shakespeare.tgv.f1.xml,ok,,urn:cts:engLit:shakespeare.tgv.f1,5,20,
../canonical-engLit/data/shakespeare/tgv/shakespeare.tgv.globe.xml,ok,,urn:cts:engLit:shakespeare.tgv.globe,5,20,40
../canonical-engLit/data/shakespeare/tim/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tim/shakespeare.tim.f1.xml,ok,,urn:cts:engLit:shakespeare.tim.f1,5,17,
../canonical-engLit/data/shakespeare/tim/shakespeare.tim.globe.xml,ok,,urn:cts:engLit:shakespeare.tim.globe,6,17,38
../canonical-engLit/data/shakespeare/tit/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tit/shakespeare.tit.f1.xml,ok,,urn:cts:engLit:shakespeare.tit.f1,5,14,
../canonical-engLit/data/shakespeare/tit/shakespeare.tit.globe.xml,ok,,urn:cts:engLit:shakespeare.tit.globe,5,14,2
../canonical-engLit/data/shakespeare/tmp/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tmp/shakespeare.tmp.f1.xml,ok,,urn:cts:engLit:shakespeare.tmp.f1,5,9,
../canonical-engLit/data/shakespeare/tmp/shakespeare.tmp.globe.xml,ok,,urn:cts:engLit:shakespeare.tmp.globe,6,9,45
../canonical-engLit/data/shakespeare/tn/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tn/shakespeare.tn.f1.xml,ok,,urn:cts:engLit:shakespeare.tn.f1,5,18,
../canonical-engLit/data/shakespeare/tn/shakespeare.tn.globe.xml,ok,,urn:cts:engLit:shakespeare.tn.globe,5,18,108
../canonical-engLit/data/shakespeare/tro/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/tro/shakespeare.tro.f1.xml,ok,,urn:cts:engLit:shakespeare.tro.f1,6,25,
../canonical-engLit/data/shakespeare/tro/shakespeare.tro.globe.xml,ok,,urn:cts:engLit:shakespeare.tro.globe,6,24,
../canonical-engLit/data/shakespeare/ven/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ven/shakespeare.ven.folger.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/ven/shakespeare.ven.globe.xml,config_error,First-level citeStructure declares delim='.'; must be ':' (CTS passage separator),,,,
../canonical-engLit/data/shakespeare/wiv/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/wiv/shakespeare.wiv.f1.xml,ok,,urn:cts:engLit:shakespeare.wiv.f1,5,23,
../canonical-engLit/data/shakespeare/wiv/shakespeare.wiv.globe.xml,ok,,urn:cts:engLit:shakespeare.wiv.globe,5,23,146
../canonical-engLit/data/shakespeare/wt/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/wt/shakespeare.wt.f1.xml,ok,,urn:cts:engLit:shakespeare.wt.f1,5,15,
../canonical-engLit/data/shakespeare/wt/shakespeare.wt.globe.xml,ok,,urn:cts:engLit:shakespeare.wt.globe,5,15,38
