act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,2,110,121,11,12,1,no,1,,Name
1,2,110,121,11,12,1,no,2,,Rail thou in Fulvia's phrase; and taunt my faults
1,2,110,121,11,12,1,no,3,,With such full license as both truth and malice
1,2,110,121,11,12,1,no,4,,"Have power to utter. O, then we bring forth weeds,"
1,2,110,121,11,12,1,no,5,,When our quick minds lie still; and our ills told us
1,2,110,121,11,12,1,no,6,,Is as our earing. Fare thee well awhile.
1,2,110,121,11,12,1,no,7,,At your noble pleasure.
1,2,110,121,11,12,1,no,8,,"From Sicyon, ho, the news! Speak there !"
1,2,110,121,11,12,1,no,9,,"The man from Sicyon,—"
1,2,110,121,11,12,1,no,10,,He stays upon your will.
1,2,110,121,11,12,1,no,11,,Let him appear.
1,2,110,121,11,12,1,no,12,121,"These strong Egyptian fetters I must break,"
1,2,121,131,10,13,3,no,1,,Or lose myself in dotage.
1,2,121,131,10,13,3,no,2,,What are you ?
1,2,121,131,10,13,3,no,3,,Fulvia thy wife is dead.
1,2,121,131,10,13,3,no,4,,Where died she ?
1,2,121,131,10,13,3,no,5,,In Sicyon:
1,2,121,131,10,13,3,no,6,,"Her length of sickness,"
1,2,121,131,10,13,3,no,7,,"Importeth thee to know, this bears."
1,2,121,131,10,13,3,no,8,,Forbear me.
1,2,121,131,10,13,3,no,9,,There's a great spirit gone! Thus did I desire it:
1,2,121,131,10,13,3,no,10,,"What our contempt doth often hurl from us,"
1,2,121,131,10,13,3,no,11,,"We wish it ours again; the present pleasure,"
1,2,121,131,10,13,3,no,12,,"By revolution lowering, does become"
1,2,121,131,10,13,3,no,13,131,"The opposite of itself: she's good, being gone;"
1,2,131,140,9,9,0,yes,,,
1,2,140,150,10,10,0,yes,,,
1,2,150,179,29,29,0,yes,,,
1,2,179,190,11,11,0,yes,,,
1,2,190,200,10,10,0,yes,,,
1,3,10,21,11,14,3,no,1,,Thou teachest like a fool; the way to lose him.
1,3,10,21,11,14,3,no,2,,"Tempt him not so too far; I wish, forbear:"
1,3,10,21,11,14,3,no,3,,In time we hate that which we often fear.
1,3,10,21,11,14,3,no,4,,But here comes Antony.
1,3,10,21,11,14,3,no,5,,I am sick and sullen.
1,3,10,21,11,14,3,no,6,,"I am sorry to give breathing to my purpose,"
1,3,10,21,11,14,3,no,7,,"Help me away, dear Charmian; I shall fall:"
1,3,10,21,11,14,3,no,8,,"It cannot be thus long, the sides of nature"
1,3,10,21,11,14,3,no,9,,Will not sustain it.
