act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,2,40,70,30,32,2,no,30,,brother's?
1,2,40,70,30,32,2,no,31,,"If the matter were good, my lord, I"
1,2,40,70,30,32,2,no,32,70,durst swear
1,2,70,101,31,32,1,no,1,,I would fain think it
1,2,70,101,31,32,1,no,2,,It is his.
1,2,70,101,31,32,1,no,3,,"It is his hand, my lord; but I hope"
1,2,70,101,31,32,1,no,4,,his heart is
1,2,70,101,31,32,1,no,5,,Hath he never heretofore sounded
1,2,70,101,31,32,1,no,6,,you in this business?
1,2,70,101,31,32,1,no,7,,"Never, my lord: but I have heard"
1,2,70,101,31,32,1,no,8,,him oft maintain
1,2,70,101,31,32,1,no,9,,"perfect age, and fathers"
1,2,70,101,31,32,1,no,10,,"should be as ward to the son, and"
1,2,70,101,31,32,1,no,11,,manage his revenue.
1,2,70,101,31,32,1,no,12,,"O villain, villain! His very opinion"
1,2,70,101,31,32,1,no,13,,in the letter!
1,2,70,101,31,32,1,no,14,,brutish
1,2,70,101,31,32,1,no,15,,"Go, sirrah, seek him; I'll"
1,2,70,101,31,32,1,no,16,,abominable villain! Where is he?
1,2,70,101,31,32,1,no,17,,"I do not well know, my lord. If it"
1,2,70,101,31,32,1,no,18,,shall please you to
1,2,70,101,31,32,1,no,19,,against my brother till you can
1,2,70,101,31,32,1,no,20,,"him better testimony of his intent, you shall"
1,2,70,101,31,32,1,no,21,,"run a certain course; where, if you violently"
1,2,70,101,31,32,1,no,22,,proceed against
1,2,70,101,31,32,1,no,23,,would make a great
1,2,70,101,31,32,1,no,24,,and shake in pieces the heart of
1,2,70,101,31,32,1,no,25,,"I dare pawn down my life for him, that"
1,2,70,101,31,32,1,no,26,,hath wrote this to feel my affection to your
1,2,70,101,31,32,1,no,27,,"honor, and"
1,2,70,101,31,32,1,no,28,,Think you so?
1,2,70,101,31,32,1,no,29,,"If your honour judge it meet, I will"
1,2,70,101,31,32,1,no,30,,place you
1,2,70,101,31,32,1,no,31,,"this, and by an auricular"
1,2,70,101,31,32,1,no,32,101,satisfaction; and that without
1,2,101,111,10,11,1,no,1,,than this very evening.
1,2,101,111,10,11,1,no,2,,He cannot be such a monster--
1,2,101,111,10,11,1,no,3,,"Nor is not, sure."
1,2,101,111,10,11,1,no,4,,"To his father, that so tenderly and"
1,2,101,111,10,11,1,no,5,,"entirely loves him. Heaven and earth! Edmund,"
1,2,101,111,10,11,1,no,6,,seek
1,2,101,111,10,11,1,no,7,,you: frame the business
1,2,101,111,10,11,1,no,8,,"I would unstate myself,"
1,2,101,111,10,11,1,no,9,,resolution.
1,2,101,111,10,11,1,no,10,,"I will seek him, sir, presently; convey"
1,2,101,111,10,11,1,no,11,111,the business
1,2,111,151,40,44,4,no,1,,acquaint you withal.
1,2,111,151,40,44,4,no,2,,These late eclipses in the sun and
1,2,111,151,40,44,4,no,3,,moon portend
1,2,111,151,40,44,4,no,4,,of nature can
1,2,111,151,40,44,4,no,5,,yet nature finds itself scourged
1,2,111,151,40,44,4,no,6,,"effects: love cools, friendship falls off,"
1,2,111,151,40,44,4,no,7,,"divide: in cities, mutinies; in countries,"
1,2,111,151,40,44,4,no,8,,discord;
1,2,111,151,40,44,4,no,9,,cracked 'twixt
1,2,111,151,40,44,4,no,10,,mine comes under the
1,2,111,151,40,44,4,no,11,,against father: the king falls from
1,2,111,151,40,44,4,no,12,,there's father against child. We have
1,2,111,151,40,44,4,no,13,,"seen the best of our time: machinations, hollownwss,"
1,2,111,151,40,44,4,no,14,,"treachery, and all ruinous disorders,"
1,2,111,151,40,44,4,no,15,,follow us disquietly
1,2,111,151,40,44,4,no,16,,"this villain, Edmund; it shall lose"
1,2,111,151,40,44,4,no,17,,do it carefully. And the noble and true-hearted
1,2,111,151,40,44,4,no,18,,"Kent banished! his offence, honesty!"
1,2,111,151,40,44,4,no,19,,'Tis strange.
1,2,111,151,40,44,4,no,20,,This is the excellent foppery of the
1,2,111,151,40,44,4,no,21,,"world, that,"
1,2,111,151,40,44,4,no,22,,often the surfeit of our own
1,2,111,151,40,44,4,no,23,,"make guilty of our disasters the sun, the"
1,2,111,151,40,44,4,no,24,,and the stars: as if we were villains by necessity;
1,2,111,151,40,44,4,no,25,,"fools by heavenly compulsion; knaves,"
1,2,111,151,40,44,4,no,26,,"thieves, and"
1,2,111,151,40,44,4,no,27,,"drunkards, liars,"
1,2,111,151,40,44,4,no,28,,enforced obedience of planetary
1,2,111,151,40,44,4,no,29,,"and all that we are evil in, by a divine thrusting"
1,2,111,151,40,44,4,no,30,,on: an admirable evasion of whoremaster
1,2,111,151,40,44,4,no,31,,"man,"
1,2,111,151,40,44,4,no,32,,charge of a star!
1,2,111,151,40,44,4,no,33,,my mother under the dragon's
1,2,111,151,40,44,4,no,34,,nativity was under Ursa major: so
1,2,111,151,40,44,4,no,35,,"I am rough and lecherous. Tut, I should"
1,2,111,151,40,44,4,no,36,,"have been that I am, had the maidenliest star"
1,2,111,151,40,44,4,no,37,,in the firmament
1,2,111,151,40,44,4,no,38,,Edgar--
1,2,111,151,40,44,4,no,39,,and
1,2,111,151,40,44,4,no,40,,old comedy:
1,2,111,151,40,44,4,no,41,,with a sigh like Tom
1,2,111,151,40,44,4,no,42,,eclipses do portend these divisions!
1,2,111,151,40,44,4,no,43,,mi.
1,2,111,151,40,44,4,no,44,151,"How now, brother Edmund! what serious"
1,2,151,170,19,18,-1,no,1,,contemplation
1,2,151,170,19,18,-1,no,2,,"I am thinking, brother, of a prediction"
1,2,151,170,19,18,-1,no,3,,I read this
1,2,151,170,19,18,-1,no,4,,these eclipses.
1,2,151,170,19,18,-1,no,5,,Do you busy yourself about that?
1,2,151,170,19,18,-1,no,6,,"I promise you, the effects he writes"
1,2,151,170,19,18,-1,no,7,,of succeed
1,2,151,170,19,18,-1,no,8,,"the child and the parent; death, dearth,"
